"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Intel® Core™ X-series Processors","Mobile","i7-3940XM","Launched","22 nm",1096,4,8,3,3.9,8,"5 GT/s DMI",55,"No","Yes","32 GB","DDR3/L/-RS 1333/1600",2,"25.6 GB/s","No",NA,"650 MHz","1.35 GHz","","eDP/DP/HDMI/SDVO/CRT ",NA,"","","","",NA,"3","1x16, 2x8, 1x8 2x4",16,"105 C","Yes","Yes","Yes","64-bit","AVX","Yes","Yes","","Yes",2012,274,137
"Intel® Core™ X-series Processors","Desktop","i7-3960X","End of Life","32 nm",1059,6,12,3.3,3.9,15,"5 GT/s DMI2",130,"No","","64 GB","DDR3 1066/1333/1600",4,"51.2 GB/s","No",NA,"","","","",NA,"","","","",NA,"2","",40,"66.8°C","Yes","Yes","Yes","64-bit","SSE4.2, AVX, AES","Yes","Yes","","Yes",2011,176.5,88.25
"Intel® Core™ X-series Processors","Desktop","i7-3970X","End of Life","32 nm",1059,6,12,3.5,4,15,"5 GT/s DMI2",150,"No","","64.45 GB","DDR3 1066/1333/1600",4,"51.2 GB/s","No",NA,"","","","",NA,"","","","",NA,"2","",40,"66.8°C","Yes","Yes","Yes","64-bit","SSE4.2, AVX, AES","Yes","Yes","","Yes",2012,176.5,88.25
"Intel® Core™ X-series Processors","Desktop","i7-4820K","End of Life","22 nm",332,4,8,3.7,3.9,10,"5 GT/s DMI2",130,"No","Yes","64 GB","DDR3 1333/1600/1866",4,"59.7 GB/s","No",NA,"","","","",NA,"","","","",NA,"3","",40,"66.8°C","Yes","Yes","Yes","64-bit","SSE4.2, AVX, AES","Yes","Yes","","Yes",2013,83,41.5
"Intel® Core™ X-series Processors","Mobile","i7-4930MX","Launched","22 nm",303,4,8,3,3.9,8,"5 GT/s DMI2",57,"No","Yes","32 GB","DDR3L 1333/1600",2,"25.6 GB/s","No",NA,"400 MHz","1.35 GHz","1.7 GB","eDP/DP/HDMI/VGA ",NA,"","","","",NA,"3","1x16, 2x8, 1x8 2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,75.75,37.875
"Intel® Core™ X-series Processors","Desktop","i7-4930K","End of Life","22 nm",594,6,12,3.4,3.9,12,"5 GT/s DMI2",130,"No","Yes","64 GB","DDR3 1333/1600/1866",4,"59.7 GB/s","No",NA,"","","","",NA,"","","","",NA,"3","",40,"66.8","Yes","Yes","Yes","64-bit","SSE4.2, AVX, AES","Yes","Yes","","Yes",2013,99,49.5
"Intel® Core™ X-series Processors","Mobile","i7-4940MX","Launched","22 nm",303,4,8,3.1,4,8,"5 GT/s DMI2",57,"No","Yes","32 GB","DDR3L 1333/1600",2,"25.6 GB/s","No",NA,"400 MHz","1.35 GHz","1.7 GB","eDP/DP/HDMI/VGA ",NA,"","","","",NA,"3","1x16, 2x8, 1x8 2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,75.75,37.875
"Intel® Core™ X-series Processors","Desktop","i7-4960X","End of Life","22 nm",1059,6,12,3.6,4,15,"5 GT/s DMI2",130,"No","Yes","64 GB","DDR3 1333/1600/1866",4,"59.7 GB/s","No",NA,"","","","",NA,"","","","",NA,"3","",40,"66.8°C","Yes","Yes","Yes","64-bit","SSE4.2, AVX, AES","Yes","Yes","","Yes",2013,176.5,88.25
"Intel® Core™ X-series Processors","Desktop","i7-5820K","Launched","22 nm",392.5,6,12,3.3,3.6,15,"0 GT/s",140,"No","Yes","64 GB","DDR4 1333/1600/2133",4,"68 GB/s","No",NA,"","","","",NA,"","","","",NA,"3","",28,"66.8","Yes","Yes","Yes","64-bit","SSE4.2, AVX 2.0, AES","Yes","Yes","","Yes",2014,65.4166666666667,32.7083333333333
"Intel® Core™ X-series Processors","Desktop","i7-5930K","Launched","22 nm",588.5,6,12,3.5,3.7,15,"0 GT/s",140,"No","Yes","64 GB","DDR4 1333/1600/2133",4,"68 GB/s","No",NA,"","","","",NA,"","","","",NA,"3","",40,"66.8","Yes","Yes","Yes","64-bit","SSE4.2, AVX 2.0, AES","Yes","Yes","","Yes",2014,98.0833333333333,49.0416666666667
"Intel® Core™ X-series Processors","Desktop","i7-5960X","Launched","22 nm",1029,8,16,3,3.5,20,"0 GT/s",140,"No","Yes","64 GB","DDR4 1333/1600/2133",4,"68 GB/s","No",NA,"","","","",NA,"","","","",NA,"3","",40,"66.8","Yes","Yes","Yes","64-bit","SSE4.2, AVX 2.0, AES","Yes","Yes","","Yes",2014,128.625,64.3125
"Intel® Core™ X-series Processors","Desktop","i7-6800K","Launched","14 nm",437.5,6,12,3.4,3.6,15,"",140,"No","Yes","128 GB","DDR4 2400/2133",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",28,"","Yes","Yes","Yes","64-bit","","Yes","","","Yes",2016,72.9166666666667,36.4583333333333
"Intel® Core™ X-series Processors","Desktop","i7-6850K","Launched","14 nm",622.5,6,12,3.6,3.8,15,"",140,"No","Yes","128 GB","DDR4 2400/2133",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",40,"","Yes","Yes","Yes","64-bit","","Yes","","","Yes",2016,103.75,51.875
"Intel® Core™ X-series Processors","Desktop","i7-6900K","Launched","14 nm",1099,8,16,3.2,3.7,20,"",140,"No","Yes","128 GB","DDR4 2400/2133",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",40,"","Yes","Yes","Yes","64-bit","","Yes","","","Yes",2016,137.375,68.6875
"Intel® Core™ X-series Processors","Desktop","i7-6950X","Launched","14 nm",1733,10,20,3,3.5,25,"",140,"No","Yes","128 GB","DDR4 2400/2133",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",40,"","Yes","Yes","Yes","64-bit","","Yes","","","Yes",2016,173.3,86.65
"Intel® Core™ X-series Processors","Desktop","i5-7640X","Launched","14 nm",242.5,4,4,4,4.2,6,"8 GT/s DMI3",112,"No","Yes","64 GB","DDR4-2666",2,"","No",NA,"","","","",NA,"","","","",NA,"3","Up to 1x16, 2x8, 1x8+2x4",16,"100°C","","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","","","","",2017,60.625,60.625
"Intel® Core™ X-series Processors","Desktop","i7-7740X","Launched","14 nm",344.5,4,8,4.3,4.5,8,"8 GT/s DMI3",112,"No","Yes","64 GB","DDR4-2666",2,"","No",NA,"","","","",NA,"","","","",NA,"3","Up to 1x16, 2x8, 1x8+2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","","","","",2017,86.125,43.0625
"Intel® Core™ X-series Processors","Desktop","i7-7800X","Launched","14 nm",386,6,12,3.5,4,8.25,"8 GT/s DMI3",140,"No","Yes","128 GB","DDR4-2400",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",28,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0, AVX-512","","","","Yes",2017,64.3333333333333,32.1666666666667
"Intel® Core™ X-series Processors","Desktop","i9-7900X","Launched","14 nm",994,10,20,3.3,4.3,13.75,"8 GT/s DMI3",140,"No","Yes","128 GB","DDR4-2666",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",44,"95°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0, AVX-512","","","","Yes",2017,99.4,49.7
"Intel® Core™ X-series Processors","Desktop","i7-7820X","Launched","14 nm",594,8,16,3.6,4.3,11,"8 GT/s DMI3",140,"No","Yes","128 GB","DDR4-2666",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",28,"99°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0, AVX-512","","","","Yes",2017,74.25,37.125
"Intel® Core™ X-series Processors","Desktop","i9-7920X","Launched","14 nm",1194,12,24,2.9,4.3,16.5,"8 GT/s DMI",140,"No","Yes","128 GB","DDR4-2666",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",44,"95°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0, AVX-512","","","","Yes",2017,99.5,49.75
"Intel® Core™ X-series Processors","Desktop","i9-7940X","Announced","",303,14,28,3.1,4.3,19.25,"8 GT/s DMI3",165,"No","Yes","128 GB","DDR4-2666",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",44,"102°C","Yes","Yes","Yes","","SSE4.1/4.2, AVX 2.0, AVX-512","","","","Yes",2017,21.6428571428571,10.8214285714286
"Intel® Core™ X-series Processors","Desktop","i9-7960X","Announced","",303,16,32,2.8,4.2,22,"8 GT/s DMI3",165,"No","Yes","128 GB","DDR4-2666",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",44,"98°C","Yes","Yes","Yes","","SSE4.1/4.2, AVX 2.0, AVX-512","","","","Yes",2017,18.9375,9.46875
"Intel® Core™ X-series Processors","Desktop","i9-7980XE","Announced","",303,18,36,2.6,4.2,24.75,"8 GT/s DMI3",165,"No","Yes","128 GB","DDR4-2666",4,"","No",NA,"","","","",NA,"","","","",NA,"3","",44,"94°C","Yes","Yes","Yes","","SSE4.1/4.2, AVX 2.0, AVX-512","","","","Yes",2017,16.8333333333333,8.41666666666667
"8th Generation Intel® Core™ i7 Processors","Mobile","i7-8650U","Launched","14 nm",409,4,8,1.9,4.2,8,"4 GT/s OPI",15,"No","Yes","32 GB","DDR4-2400, LPDDR3-2133",2,"34.1 GB/s","No",NA,"300 MHz","1.15 GHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,102.25,51.125
"8th Generation Intel® Core™ i5 Processors","Mobile","i5-8350U","Launched","14 nm",297,4,8,1.7,3.6,6,"4 GT/s OPI",15,"No","Yes","32 GB","DDR4-2400, LPDDR3-2133",2,"34.1 GB/s","No",NA,"300 MHz","1.10 GHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,74.25,37.125
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7500U","Launched","14 nm",393,2,4,2.7,3.5,4,"4 GT/s OPI",15,"No","Yes","32 GB","DDR4-2133, LPDDR3-1866, DDR3L-1600",2,"34.1 GB/s","No",NA,"300 MHz","1.05 GHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2016,196.5,98.25
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7560U","Launched","14 nm",415,2,4,2.4,3.8,4,"",15,"No","Yes","32 GB","DDR4-2133, LPDDR3-1866, DDR3L-1600",2,"34.1 GB/s","No",NA,"300 MHz","1.05 GHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@30Hz ","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,207.5,103.75
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7567U","Launched","14 nm",303,2,4,3.5,4,4,"4 GT/s OPI",28,"No","Yes","32 GB","DDR4-2133, LPDDR3 - 1866, DDR3L-1600",2,"34.1 GB/s","No",NA,"300 MHz","1.15 GHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@30Hz ","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,151.5,75.75
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7600U","Launched","14 nm",393,2,4,2.8,3.9,4,"4 GT/s OPI",15,"Yes","Yes","32 GB","DDR4-2133, LPDDR3-1866, DDR3L-1600",2,"34.1 GB/s","No",NA,"300 MHz","1.15 GHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,196.5,98.25
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7660U","Launched","14 nm",415,2,4,2.5,4,4,"4 GT/s OPI",15,"No","Yes","32 GB","DDR4-2133, LPDDR3-1866, DDR3L-1600",2,"34.1 GB/s","No",NA,"300 MHz","1.10 GHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@30Hz ","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,207.5,103.75
"7th Generation Intel® Core™ i7 Processors","Desktop","i7-7700T","Launched","14 nm",307.5,4,8,2.9,3.8,8,"8 GT/s DMI3",35,"Yes","Yes","64 GB","DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,"","No",NA,"350 MHz","1.15 GHz","64 GB","",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","Up to 1x16, 2x8, 1x8+2x4",16,"80°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,76.875,38.4375
"7th Generation Intel® Core™ i7 Processors","Desktop","i7-7700K","Launched","14 nm",344.5,4,8,4.2,4.5,8,"8 GT/s DMI3",91,"No","Yes","64 GB","DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,"","No",NA,"350 MHz","1.15 GHz","64 GB","",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","Up to 1x16, 2x8, 1x8+2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,86.125,43.0625
"7th Generation Intel® Core™ i7 Processors","Desktop","i7-7700","Launched","14 nm",307.5,4,8,3.6,4.2,8,"8 GT/s DMI3",65,"Yes","Yes","64 GB","DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,"","No",NA,"350 MHz","1.15 GHz","64 GB","",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","Up to 1x16, 2x8, 1x8+2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,76.875,38.4375
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7700HQ","Launched","14 nm",378,4,8,2.8,3.8,6,"8 GT/s DMI3",45,"No","Yes","64 GB","DDR4-2400, LPDDR3-2133, DDR3L-1600",2,"34.1 GB/s","No",NA,"350 MHz","1.10 GHz","64 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","Up to 1x16, 2x8, 1x8+2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,94.5,47.25
"7th Generation Intel® Core™ i7 Processors","Embedded","i7-7820EQ","Launched","14 nm",378,4,8,3,3.7,8,"",45,"Yes","Yes","64 GB","DDR4-2400",2,"34.1 GB/s","No",NA,"350 MHz","1.00 GHz","64 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x16,2x8,1x8+2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","","Yes",2017,94.5,47.25
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7820HK","Launched","14 nm",378,4,8,2.9,3.9,8,"8 GT/s DMI3",45,"No","Yes","64 GB","DDR4-2400, LPDDR3-2133, DDR3L-1600",2,"34.1 GB/s","No",NA,"350 MHz","1.10 GHz","64 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","Up to 1x16, 2x8, 1x8+2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,94.5,47.25
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7820HQ","Launched","14 nm",378,4,8,2.9,3.9,8,"",45,"No","Yes","64 GB","DDR4-2400, LPDDR3-2133, DDR3L-1600",2,"34.1 GB/s","No",NA,"350 MHz","1.10 GHz","64 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","Up to 1x16, 2x8, 1x8+2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,94.5,47.25
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7920HQ","Launched","14 nm",568,4,8,3.1,4.1,8,"8 GT/s DMI3",45,"No","Yes","64 GB","DDR4-2400, LPDDR3-2133, DDR3L-1600",2,"34.1 GB/s","No",NA,"350 MHz","1.10 GHz","64 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@30Hz","4096x2304@60Hz","","12",NA,"3","Up to 1x16, 2x8, 1x8+2x4",16,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,142,71
"Intel® Quark™ Microcontroller D2000 Series","Embedded","D2000","Launched","",2.54,1,1,0.032,3.3,3,"",47,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","","","","32-bit","","","","","",2015,2.54,2.54
"Intel® Quark™ SoC X1000 Series","Embedded","X1021D","Launched","32 nm",12.85,1,1,0.4,3.3,0.015625,"",2.2,"Yes","Yes","2 GB","DDR3 800",1,"1.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","x1",2,"110°C","No","No","No","32-bit","","Yes","No","No","Yes",2014,12.85,12.85
"Intel® Atom™ Processor Z Series","Mobile","Z2420","End of Interactive Support","32 nm",303,1,2,2.26,3.3,0.5,"",47,"No","Yes","1 GB","LPDDR2 800",2,"6.4 GB/s","",NA,"400 MHz","","","",NA,"","","","",NA,"","",NA,"90","Yes","","","32-bit","SSE, SSE2, SSE3","Yes","Yes","","Yes",2013,303,151.5
"Intel® Quark™ Microcontroller D1000 Series","Embedded","D1000","Launched","",2.54,1,1,0.033,3.3,3,"",0.025,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","","","","32-bit","","","","","",2015,2.54,2.54
"Legacy Intel Atom® Processors","Embedded","E620","Launched","45 nm",19,1,2,0.6,3.3,0.5,"2500 MHz PCIE",3.3,"Yes","Yes","2 GB","DDR2 800",1,"","No",NA,"320 MHz","","","",NA,"","","","",NA,"1.0a","x1, root complex only",4,"90°C","Yes","Yes","No","32-bit","","Yes","Yes","","Yes",2010,19,9.5
"Intel® Atom™ Processor Z Series","Mobile","Z2460","End of Interactive Support","32 nm",303,1,2,2.26,3.3,0.5,"",47,"No","Yes","2 GB","LPDDR2 800",2,"6.4 GB/s","",NA,"400 MHz","","","HDMI",NA,"","","","",NA,"","",NA,"90","Yes","","","32-bit","SSE, SSE2, SSE3","Yes","Yes","","Yes",2012,303,151.5
"Intel® Atom™ Processor X Series","Mobile","x7-Z8750","Launched","14 nm",37,4,4,1.6,3.3,2,"",47,"No","Yes","8 GB","LPDDR3 1600",2,"25.6 GB/s","",NA,"200 MHz","600 MHz","8 GB","",NA,"3840x2160","","2560x1600","",NA,"2","2x1, 1x2",2,"90°C","","Yes","Yes","64-bit","","","","","",2016,9.25,9.25
"Intel® Atom™ Processor N Series","Mobile","N2600","Launched","32 nm",42,2,4,1.6,3.3,1,"2.5 GT/s DMI",3.5,"Yes","Yes","2.44 GB","DDR3",1,"","",NA,"400 MHz","","","",NA,"","","","",NA,"","",NA,"","Yes","No","Yes","64-bit","SSE2, SSE3, SSSE3","","Yes","","Yes",2011,21,10.5
"Intel® Atom™ Processor E Series","Embedded","E3805","Launched","22 nm",31,2,2,1.33,3.3,1,"",3,"Yes","Yes","8 GB","DDR3L 1067",1,"","Yes",NA,"","","","",NA,"","","","",NA,"2","x4, x2, x1",4,"-40°C to 110°C","No","Yes","Yes","64-bit","","","","","Yes",2014,15.5,15.5
"Intel® Atom™ Processor D Series","Desktop","D2500","End of Interactive Support","32 nm",42,2,2,1.86,3.3,1,"2.5 GT/s DMI",10,"No","Yes","4 GB","DDR3 800/1066 ",1,"6.4 GB/s","No",NA,"400 MHz","","","",NA,"","","","",NA,"","",4,"100 C","No","No","Yes","64-bit","SSE2, SSE3, SSSE3","","","","Yes",2011,21,21
"Intel® Atom™ Processor C Series","Embedded","C2316","Launched","22 nm",39,2,2,1.5,3.3,1,"",7,"No","Yes","16 GB","DDR 1333",1,"","Yes",NA,"","","","",NA,"","","","",NA,"2","",8,"100C","No","Yes","Yes","","","","","","Yes",2017,19.5,19.5
"Intel® Itanium® Processors with 677 MHz FSB","Server","","End of Life","130 nm",303,1,4,1.66,3.3,6,"667 MHz FSB",122,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"83°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Itanium® Processors with 533 MHz FSB","Server","","End of Life","130 nm",303,1,4,1.6,3.3,6,"533 MHz FSB",122,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"83°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Itanium® Processors with 400 MHz FSB","Server","","End of Life","130 nm",303,1,4,0.9,3.3,1.5,"400 MHz FSB",90,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"85°C","No","No","No","Itanium 64-bit","","No","","","No",2013,303,75.75
"Intel® Itanium® Processor 9000 Series","Server","9010","End of Life","90 nm",303,2,4,1.6,3.3,6,"533 MHz FSB",104,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"74°C","No","Yes","No","Itanium 64-bit","","No","","","No",2013,151.5,75.75
"Intel® Itanium® Processor 9100 Series","Server","9110N","End of Life","90 nm",696,1,4,1.6,3.3,12,"533 MHz FSB",75,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","No","Itanium 64-bit","","No","","","No",2007,696,174
"Intel® Itanium® Processor 9300 Series","Server","9310","End of Life","65 nm",946,2,4,1.6,3.3,10,"4.8 GT/s QPI",130,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","Yes","Yes","","Itanium 64-bit","","","Yes","","Yes",2010,473,236.5
"Intel® Itanium® Processor 9300 Series","Server","9320","End of Life","65 nm",1614,4,8,1.33,1.47,16,"4.8 GT/s QPI",155,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","Yes","Yes","","Itanium 64-bit","","","Yes","","Yes",2010,403.5,201.75
"Intel® Itanium® Processor 9300 Series","Server","9330","End of Life","65 nm",2059,4,8,1.46,1.6,20,"4.8 GT/s QPI",155,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","Yes","Yes","","Itanium 64-bit","","","Yes","","Yes",2010,514.75,257.375
"Intel® Itanium® Processor 9300 Series","Server","9340","End of Life","65 nm",2059,4,8,1.6,1.73,20,"4.8 GT/s QPI",185,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","Yes","Yes","","Itanium 64-bit","","","Yes","","Yes",2010,514.75,257.375
"Intel® Itanium® Processor 9300 Series","Server","9350","End of Life","65 nm",3838,4,8,1.73,1.87,24,"4.8 GT/s QPI",185,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","Yes","Yes","","Itanium 64-bit","","","Yes","","Yes",2010,959.5,479.75
"Intel® Itanium® Processor 9100 Series","Server","9120N","End of Life","90 nm",910,2,4,1.42,3.3,12,"533 MHz FSB",104,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","Yes","Yes","No","Itanium 64-bit","","No","","","No",2007,455,227.5
"Intel® Itanium® Processor 9100 Series","Server","9130M","End of Life","90 nm",1552,2,4,1.66,3.3,8,"667 MHz FSB",104,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","No","Itanium 64-bit","","No","","","No",2007,776,388
"Intel® Itanium® Processor 9100 Series","Server","9140M","End of Life","90 nm",1980,2,4,1.66,3.3,18,"667 MHz FSB",104,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","Yes","Yes","No","Itanium 64-bit","","No","","","No",2007,990,495
"Intel® Itanium® Processor 9100 Series","Server","9140N","End of Life","90 nm",1980,2,4,1.6,3.3,18,"533 MHz FSB",104,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","Yes","Yes","No","Itanium 64-bit","","No","","","No",2007,990,495
"Intel® Itanium® Processor 9100 Series","Server","9150M","End of Life","90 nm",3692,2,4,1.66,3.3,24,"667 MHz FSB",104,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","Yes","Yes","No","Itanium 64-bit","","No","","","No",2007,1846,923
"Intel® Itanium® Processor 9100 Series","Server","9150N","End of Life","90 nm",3692,2,4,1.6,3.3,24,"533 MHz FSB",104,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","Yes","Yes","No","Itanium 64-bit","","No","","","No",2007,1846,923
"Intel® Itanium® Processor 9100 Series","Server","9152M","End of Life","90 nm",303,2,4,1.66,3.3,24,"667 MHz FSB",104,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","Yes","Yes","No","Itanium 64-bit","","No","","","No",2007,151.5,75.75
"Intel® Itanium® Processor 9000 Series","Server","9015","End of Life","90 nm",303,2,4,1.4,3.3,12,"533 MHz FSB",104,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","No","Itanium 64-bit","","No","","","No",2007,151.5,75.75
