"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Intel® Pentium® Processor 3000 Series","Mobile","3825U","Launched","14 nm",161,2,4,1.9,3.3,2,"5 GT/s DMI2",15,"No","Yes","16 GB","DDR3L 1333/1600 LPDDR3 1333/1600",2,"25.6 GB/s","",NA,"300 MHz","850 MHz","","eDP/DP/HDMI",NA,"","","","11.2/12",NA,"2","4x1 2x4",12,"105°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2","","Yes","Yes","Yes",2015,80.5,40.25
"Intel® Pentium® Processor 4000 Series","Mobile","4405U","Launched","14 nm",161,2,4,2.1,3.3,2,"4 GT/s OPI",15,"No","Yes","32 GB","DDR4-1866/2133, LPDDR3-1600/1866",2,"34.1 GB/s","No",NA,"300 MHz","950 MHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"2","1x4, 2x2, 1x2+2x1 and 4x1",10,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2015,80.5,40.25
"Intel® Pentium® Processor N Series","Mobile","N3710","Launched","14 nm",161,4,4,1.6,3.3,2,"",6,"Yes","Yes","8 GB","DDR3L-1600",2,"","No",NA,"400 MHz","","8 GB","eDP/DP/HDMI",NA,"","","","Yes",NA,"2","1x4/2x2/1x2 + 2x1/4x1",4,"90°C ","No","Yes","Yes","64-bit","","Yes","Yes","Yes","Yes",2016,40.25,40.25
"Intel® Quark™ SE C1000 Microcontroller Series","Embedded","C1000","Launched","",7.75,1,1,0.032,3.3,0.0078125,"",47,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","","","","32-bit","","","","","",2015,7.75,7.75
"Intel® Pentium® Processor J Series","Desktop","J2850","Launched","22 nm",94,4,4,2.41,3.3,2,"",10,"No","Yes","8 GB","DDR3L 1333",2,"","No",NA,"688 MHz","854 MHz","","",NA,"","","","",NA,"2","X4, X2, X1",4,"100°C ","No","Yes","Yes","64-bit","","","","","Yes",2013,23.5,23.5
"Intel® Pentium® Processor J Series","Desktop","J2900","Launched","22 nm",94,4,4,2.41,3.3,2,"",10,"No","Yes","8 GB","DDR3L 1333",2,"21.3 GB/s","No",NA,"688 MHz","896 MHz","","",NA,"","","","11.2",NA,"2","X4, X2, X1",4,"  105°C ","No","Yes","Yes","64-bit","","Yes","","","Yes",2013,23.5,23.5
"Intel® Pentium® Processor J Series","Desktop","J3710","Launched","14 nm",303,4,4,1.6,3.3,2,"",6.5,"No","Yes","8 GB","DDR3L-1600",2,"","No",NA,"400 MHz","","8 GB","eDP/DP/HDMI",NA,"","","","Yes",NA,"2","1x4/2x2/1x2 + 2x1/4x1",4,"90°C ","No","Yes","Yes","64-bit","","","Yes","Yes","Yes",2016,75.75,75.75
"Intel® Pentium® Processor J Series","Desktop","J4205","Launched","14 nm",161,4,4,1.5,3.3,2,"",10,"No","Yes","8 GB","DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",2,"","No",NA,"250 MHz","","8 GB","eDP/DP/HDMI/MIPI-DSI",NA,"","","","Yes",NA,"2","1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2",6,"105","No","Yes","Yes","64-bit","","Yes","Yes","Yes","Yes",2013,40.25,40.25
"Intel® Pentium® Processor N Series","Mobile","N3700","Launched","14 nm",161,4,4,1.6,3.3,2,"",6,"No","Yes","8 GB","DDR3L-1600",2,"","No",NA,"400 MHz","","8 GB","eDP/DP/HDMI",NA,"","","","Yes",NA,"2","1x4/2x2/1x2 + 2x1/4x1",4,"90°C ","No","Yes","Yes","64-bit","","Yes","Yes","Yes","Yes",2015,40.25,40.25
"Intel® Pentium® Processor N Series","Mobile","N3510","Launched","22 nm",303,4,4,2,3.3,2,"",7.5,"No","Yes","8 GB","DDR3L 1333",2,"","",NA,"313 MHz","750 MHz","","",NA,"","","","",NA,"2","1x4",4,"100°C","No","Yes","Yes","64-bit","","Yes","","Yes","Yes",2013,75.75,75.75
"Intel® Pentium® Processor N Series","Mobile","N3520","Launched","22 nm",161,4,4,2.17,3.3,2,"",7.5,"No","Yes","8 GB","DDR3L 1333",2,"","",NA,"313 MHz","854 MHz","","",NA,"","","","",NA,"2","",4,"105°C","No","Yes","Yes","64-bit","","Yes","","Yes","Yes",2013,40.25,40.25
"Intel® Pentium® Processor N Series","Mobile","N3530","Launched","22 nm",161,4,4,2.16,3.3,2,"",7.5,"No","Yes","8 GB","DDR3L 1333",2,"","",NA,"313 MHz","896 MHz","","",NA,"","","","",NA,"2","1x4",4,"100°C","No","Yes","Yes","64-bit","","Yes","","Yes","Yes",2014,40.25,40.25
"Intel® Pentium® Processor N Series","Mobile","N3540","Launched","22 nm",161,4,4,2.16,3.3,2,"",7.5,"No","Yes","8 GB","DDR3L 1333",2,"21.32 GB/s","No",NA,"313 MHz","896 MHz","","",NA,"","","","11.2",NA,"2","1x4",4,"100°C","No","Yes","Yes","64-bit","","Yes","","Yes","Yes",2014,40.25,40.25
"Intel® Pentium® Processor N Series","Mobile","N4200","Launched","14 nm",161,4,4,1.1,3.3,2,"",6,"Yes","Yes","8 GB","DDR3L/LPDDR3 up to 1866 MT/s; ,LPDDR4 up to 2400 MT/s",2,"","No",NA,"200 MHz","","8 GB","eDP/DP/HDMI/MIPI-DSI",NA,"","","","Yes",NA,"2","1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2",6,"105°C","No","Yes","Yes","64-bit","","Yes","Yes","Yes","Yes",2016,40.25,40.25
"Intel® Pentium® Processor 4000 Series","Mobile","4405Y","Launched","14 nm",161,2,4,1.5,3.3,2,"4 GT/s OPI",6,"No","Yes","16 GB","LPDDR3-1866, DDR3L-1600",2,"29.8 GB/s","No",NA,"300 MHz","800 MHz","16 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz ","3840x2160@60Hz","3840x2160@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2015,80.5,40.25
